cell,gr_assume,alpha_assume,delta_assume,omicron_assume,unknown_assume,sample_name,barcode,barcode_old,sample_name_old,MOI,time_post_infection_min,time_post_infection_day,time_incubation_min,virus_batch,cell_batch,cell_index_within_batch,plate_number,i7,i5,plate_index_number,cDNA_concentration,date_cell_extract,date_cDNA,date_tagmentation,date_sequencing,sequencing_platform,note,throughput_MB.x,duplicate_ratio,bam_path,adata,percent_mito,percent_ribo,percent_viral,n_counts_total,n_genes_total,n_counts_protein,n_genes_protein,n_counts_viral,n_genes_viral,n_genes_viral_internal_nonN,n_genes_viral_internal_orf1only,umi_viral_total,umi_viral_nonNnon10,umi_reader_sequence,Total_reads,Dup_percent,QC_fail,Infected,Normal,infected,throughput_MB.y,total_reads_bwa,total_viral_reads_bwa,bam_name,bampath,throughput_fastq,viral_percent_bwa,umi_viral_percent,unknown,gr_stat,alpha_stat,delta_stat,omicron_stat,empty,Alpha_ratio,Delta_ratio,GR_ratio,Omicron_ratio,nmf_n_sites,nmf_unique_sites,nmf_error1,nmf_error2,voc_stat,boundaries
BatchH_Cell6_vaf_vocs,0,0,0,1,0,MOI_2-5_4hpi_bat_H_6,ZDVEAQFX,NA,BatchH_Cell6,2.5,240,0,5,H,VP_1-2-4,6,Plate1,1,6,6,0.248,2022-08-08T00:00:00Z,2022-08-11T00:00:00Z,2022-08-12T00:00:00Z,2022-08-18T00:00:00Z,novaseq,NA,NA,NA,01_bam/0904/revision.ZDVEAQFX.demx.bam,3,0.0479464,0.09956022,4.76062e-4,63017,6220,62987,6212,30,8,8,2,24,18,42,22078886,0.733696,FALSE,TRUE,FALSE,TRUE,3348.114,6434061,1049,BatchH_Cell6.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/revision/ss3/name_changed/,3348.114,0.0163038553722136,0.038084961200945774,0,FALSE,FALSE,FALSE,TRUE,FALSE,0.01118727447120683,0.00230388239879588,0.02705992711753808,0.9594489160124592,66,58,1.0098599049470889,0.01759307186871706,1,1
BatchJ_Cell29_vaf_vocs,0,0,0,1,0,MOI_2-5_4hpi_bat_J_29,JLWOSJPO,NA,BatchJ_Cell29,2.5,240,0,5,J,VP_1-2-4,29,Plate2,20,17,29,0.636,2022-08-08T00:00:00Z,2022-08-11T00:00:00Z,2022-08-12T00:00:00Z,2022-08-18T00:00:00Z,novaseq,NA,NA,NA,01_bam/0904/revision.JLWOSJPO.demx.bam,3,0.04729411,0.10160058,0.0010366275,31834,5920,31801,5914,33,6,5,2,32,9,21,719896,0.197569,FALSE,TRUE,FALSE,TRUE,108.9618,541794,380,BatchJ_Cell29.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/revision/ss3/name_changed/,108.9618,0.07013735847942207,0.10052145504806183,0,FALSE,FALSE,FALSE,TRUE,FALSE,3.2777239381006e-4,1.4551888622369434e-5,0.00159700850210957,0.998060667215458,38,31,0.02265293336484994,1.7159151426748842e-5,1,1
BatchJ_Cell33_vaf_vocs,0,0,0,1,0,MOI_2-5_4hpi_bat_J_33,YJVLNRRT,NA,BatchJ_Cell33,2.5,240,0,5,J,VP_1-2-4,33,Plate2,25,29,33,0.38,2022-08-08T00:00:00Z,2022-08-11T00:00:00Z,2022-08-12T00:00:00Z,2022-08-18T00:00:00Z,novaseq,NA,NA,NA,01_bam/0904/revision.YJVLNRRT.demx.bam,3,0.061262477,0.080010794,7.5475767e-4,37098,6211,37070,6202,28,9,9,2,23,13,74,4049772,0.448107,FALSE,TRUE,FALSE,TRUE,615.6789,2275880,1825,BatchJ_Cell33.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/revision/ss3/name_changed/,615.6789,0.0801887621491467,0.06199795137204162,0,FALSE,FALSE,FALSE,TRUE,FALSE,5.6978045802176e-4,0,0.00745981577434331,0.9919704037676348,46,42,0.12798028859543095,5.5533116388906e-4,1,1
BatchJ_Cell4_vaf_vocs,0,0,0,1,0,MOI_2-5_4hpi_bat_J_4,OKHVEXRB,NA,BatchJ_Cell4,2.5,240,0,5,J,VP_1-2-4,4,Plate2,17,16,4,0.636,2022-08-08T00:00:00Z,2022-08-11T00:00:00Z,2022-08-12T00:00:00Z,2022-08-18T00:00:00Z,novaseq,NA,NA,NA,01_bam/0904/revision.OKHVEXRB.demx.bam,3,0.066426575,0.10632401,3.2043428e-4,53053,6743,53036,6735,17,8,7,1,14,10,2,7730848,0.424792,FALSE,TRUE,FALSE,TRUE,1169.8283999999999,4512280,415,BatchJ_Cell4.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/revision/ss3/name_changed/,1169.8283999999999,0.009197124291932238,0.02638870563398865,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,19,19,0,0,1,1
BatchK_Cell18_vaf_vocs,0,0,0,1,0,MOI_2-5_4hpi_bat_K_18,TLZVUXKL,NA,BatchK_Cell18,2.5,240,0,5,K,VP_1-2-4,18,Plate2,29,14,66,0.346,2022-08-08T00:00:00Z,2022-08-11T00:00:00Z,2022-08-12T00:00:00Z,2022-08-18T00:00:00Z,novaseq,Aggregate,NA,NA,01_bam/0904/revision.TLZVUXKL.demx.bam,3,0.0641505,0.10356261,4.9358344e-4,42546,5857,42525,5848,21,9,8,2,17,10,310,14112700,0.638785,FALSE,TRUE,FALSE,TRUE,2135.598,5516241,4171,BatchK_Cell18.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/revision/ss3/name_changed/,2135.598,0.07561308507006854,0.039956752691204814,0,FALSE,FALSE,FALSE,TRUE,FALSE,0.00110446456226905,2.1977320806138e-4,0.01265475804928711,0.9860210041803824,46,41,0.14139712730768042,5.7276481229673e-4,1,1
BatchK_Cell20_vaf_vocs,0,0,0,1,0,MOI_2-5_4hpi_bat_K_20,GWZIJRHC,NA,BatchK_Cell20,2.5,240,0,5,K,VP_1-2-4,20,Plate2,29,16,68,0.137,2022-08-08T00:00:00Z,2022-08-11T00:00:00Z,2022-08-12T00:00:00Z,2022-08-18T00:00:00Z,novaseq,NA,NA,NA,01_bam/0904/revision.GWZIJRHC.demx.bam,3,0.05481784,0.10350698,0.0010204081,8820,2969,8811,2964,9,5,6,2,9,5,0,164202,0.170489,FALSE,TRUE,FALSE,TRUE,24.8943,114987,60,BatchK_Cell20.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/revision/ss3/name_changed/,24.8943,0.052179811630880014,0.10204081632653061,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,3.6600757008293035e-5,0.9999633992429918,26,21,6.748994339139948e-5,2.277446009557593e-10,1,6
BatchK_Cell27_vaf_vocs,0,0,0,1,0,MOI_2-5_4hpi_bat_K_27,KKWXDTAG,NA,BatchK_Cell27,2.5,240,0,5,K,VP_1-2-4,27,Plate2,30,15,75,0.9,2022-08-08T00:00:00Z,2022-08-11T00:00:00Z,2022-08-12T00:00:00Z,2022-08-18T00:00:00Z,novaseq,NA,NA,NA,01_bam/0904/revision.KKWXDTAG.demx.bam,3,0.06673474,0.072139405,0.00034022864000000003,73480,7776,73455,7769,25,7,5,2,20,12,31,4016124,0.394148,FALSE,TRUE,FALSE,TRUE,607.8696,2492670,699,BatchK_Cell27.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/revision/ss3/name_changed/,607.8696,0.028042219788419646,0.027218290691344585,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,35,31,0.05297014384697737,1.2881120195629e-4,1,6
MOI_2-25_1hpi_bat_0_incub_1hr_25_final_vaf_vocs,0,0,0,1,0,MOI_2-25_1hpi_bat_0_incub_1hr_25,MFIDXZTN,YPKKLBLD,MOI_2-25_1hpi_bat_0_incub_1hr_25_1,2.5,5,0,60,O,FA,25,1,22,9,73,2.42,2022-01-05T00:00:00Z,2022-01-05T00:00:00Z,2022-01-06T00:00:00Z,2022-01-17T00:00:00Z,novaseq,NA,27.2136,0.110445,01_bam/0114_added/MOI_2.25_bat0_b_4hpi_additional_concat.MFIDXZTN.demx.bam,0,0.09150277,0.11984367,1.7646911e-4,39667,6297,39660,6291,7,6,7,2,7,5,0,879380,0.221207,FALSE,TRUE,FALSE,TRUE,140.80710000000002,717627,138,MOI_2-25_1hpi_bat_0_incub_1hr_25_final.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/competition/BAT_0_B_MOI_2.25_d0_20220128_additional_run/concat_files/,140.80710000000002,0.019230045692260743,0.017646910530163613,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0.3857190857497176,0.6142809142502824,52,46,2.213308423460511,0.21058610726076263,1,6
MOI_2-25_1hpi_bat_0_incub_1hr_4_final_vaf_vocs,0,0,0,1,0,MOI_2-25_1hpi_bat_0_incub_1hr_4,BXEFKTHH,KLKGYIPS,MOI_2-25_1hpi_bat_0_incub_1hr_4_1,2.5,5,0,60,O,FA,4,1,19,12,52,0.25,2022-01-05T00:00:00Z,2022-01-05T00:00:00Z,2022-01-06T00:00:00Z,2022-01-17T00:00:00Z,novaseq,NA,64.9473,0.190903,01_bam/0114_added/MOI_2.25_bat0_b_4hpi_additional_concat.BXEFKTHH.demx.bam,0,0.14033233,0.09009257,1.8829119e-4,69042,7488,69029,7484,13,4,3,2,13,8,11,2077616,0.322205,FALSE,TRUE,FALSE,TRUE,164.7684,914971,597,MOI_2-25_1hpi_bat_0_incub_1hr_4.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/competition/BAT_0_B_with_deepsequencing_220125/,164.7684,0.06524796960777993,0.0188291185075751,0,FALSE,FALSE,FALSE,TRUE,FALSE,0.01326374929511966,0,0.10619178974757232,0.8805444609573081,27,23,0.9221861806053444,0.05464473289775617,1,6
MOI_2-25_4hpi_bat_B_10_final_vaf_vocs,0,0,0,1,0,MOI_2-25_4hpi_bat_B_10,NBPYAZHJ,JHPGPWJX,MOI_2-25_4hpi_bat_B_10_1,2.5,240,0,5,B,NS6,10,2,5,2,34,0.81,2022-01-12T00:00:00Z,2022-01-13T00:00:00Z,2022-01-16T00:00:00Z,2022-01-17T00:00:00Z,novaseq,NA,115.411,0.306347,01_bam/0114_added/MOI_2.25_bat0_b_4hpi_additional_concat.NBPYAZHJ.demx.bam,0,0.1373,0.057199817,6.6407846e-4,19576,4545,19563,4539,13,6,5,1,12,7,16,2339576,0.435327,FALSE,TRUE,FALSE,TRUE,356.6907,1297444,622,MOI_2-25_4hpi_bat_B_10_final.s.mkdp.dedup.bam,/home/users/twkim/00_data/20_SARS_CoV_Delta/00_fastq/competition/BAT_0_B_MOI_2.25_d0_20220128_additional_run/concat_files/,356.6907,0.04794041207173489,0.06129955046996322,0,FALSE,FALSE,FALSE,TRUE,FALSE,0.00476115279775149,0.00106602071983606,0.01623396910079724,0.9779388573816152,41,34,0.2868363327382644,0.00253868227714171,1,6
