CHR,POS,depth,method
NC_045512v2,1,1.344755695350991e-4,smart_seq3
NC_045512v2,2,1.4013284424501375e-4,smart_seq3
NC_045512v2,3,3.2813236976121044e-4,smart_seq3
NC_045512v2,4,3.2836835780712475e-4,smart_seq3
NC_045512v2,5,3.2889972255732485e-4,smart_seq3
NC_045512v2,6,3.2915590778514163e-4,smart_seq3
NC_045512v2,7,3.3428899302534416e-4,smart_seq3
NC_045512v2,8,3.346517098158528e-4,smart_seq3
NC_045512v2,9,3.35728790695799e-4,smart_seq3
NC_045512v2,10,3.3573571171160196e-4,smart_seq3
NC_045512v2,11,3.362204498811053e-4,smart_seq3
NC_045512v2,12,3.3675488234342595e-4,smart_seq3
NC_045512v2,13,3.372899871921278e-4,smart_seq3
NC_045512v2,14,3.3775151101642347e-4,smart_seq3
NC_045512v2,15,3.380820165178175e-4,smart_seq3
NC_045512v2,16,3.3822215130645614e-4,smart_seq3
NC_045512v2,17,3.393598470382787e-4,smart_seq3
NC_045512v2,18,3.394597195675748e-4,smart_seq3
NC_045512v2,19,3.395496061428662e-4,smart_seq3
NC_045512v2,20,3.408645711439127e-4,smart_seq3
NC_045512v2,21,3.412050696438775e-4,smart_seq3
NC_045512v2,22,3.435223702454743e-4,smart_seq3
NC_045512v2,23,3.43866437535784e-4,smart_seq3
NC_045512v2,24,3.444813320578214e-4,smart_seq3
NC_045512v2,25,3.461271230011342e-4,smart_seq3
NC_045512v2,26,3.452285457311057e-4,smart_seq3
NC_045512v2,27,3.452566804589057e-4,smart_seq3
NC_045512v2,28,3.463286615474933e-4,smart_seq3
NC_045512v2,29,3.4611526212750116e-4,smart_seq3
NC_045512v2,30,3.4632759563503224e-4,smart_seq3
NC_045512v2,31,3.463318068591271e-4,smart_seq3
NC_045512v2,32,3.4657019566244516e-4,smart_seq3
NC_045512v2,33,3.4614585476810917e-4,smart_seq3
NC_045512v2,34,3.4629252386375305e-4,smart_seq3
NC_045512v2,35,3.46312277689169e-4,smart_seq3
NC_045512v2,36,3.463450638923105e-4,smart_seq3
NC_045512v2,37,3.4635545460602233e-4,smart_seq3
NC_045512v2,38,3.4635804151230624e-4,smart_seq3
NC_045512v2,39,3.471431348940015e-4,smart_seq3
NC_045512v2,40,3.4764017672203064e-4,smart_seq3
NC_045512v2,41,3.4849079878854574e-4,smart_seq3
NC_045512v2,42,3.486410480528458e-4,smart_seq3
NC_045512v2,43,3.4867662657625054e-4,smart_seq3
NC_045512v2,44,3.491497551042241e-4,smart_seq3
NC_045512v2,45,3.487607928568354e-4,smart_seq3
NC_045512v2,46,3.499243629254667e-4,smart_seq3
NC_045512v2,47,3.499840638208644e-4,smart_seq3
NC_045512v2,48,3.502587869722147e-4,smart_seq3
NC_045512v2,49,3.500419084821039e-4,smart_seq3
NC_045512v2,50,3.5353493582456754e-4,smart_seq3
NC_045512v2,51,3.538041927046912e-4,smart_seq3
NC_045512v2,52,3.538291656201794e-4,smart_seq3
NC_045512v2,53,3.539556175803518e-4,smart_seq3
NC_045512v2,54,3.5427951368035567e-4,smart_seq3
NC_045512v2,55,3.54374946051362e-4,smart_seq3
NC_045512v2,56,3.5461396103025867e-4,smart_seq3
NC_045512v2,57,3.5124291884859274e-4,smart_seq3
NC_045512v2,58,3.5087063579432277e-4,smart_seq3
NC_045512v2,59,3.4945600721512514e-4,smart_seq3
NC_045512v2,60,3.4804882411545394e-4,smart_seq3
NC_045512v2,61,3.4552141536026756e-4,smart_seq3
NC_045512v2,62,3.453722859305207e-4,smart_seq3
NC_045512v2,63,3.454441929176854e-4,smart_seq3
NC_045512v2,64,3.450103649770195e-4,smart_seq3
NC_045512v2,65,2.694741027159934e-4,smart_seq3
